Folder_name,Mark,Model,Generation
AMC_AMX_1_gen,amc,amx,1
AMC_Ambassador_7_gen,amc,ambassador,7
AMC_Eagle_1_gen,amc,eagle,1
AMC_Hornet_1_gen,amc,hornet,1
AMC_Javelin_1_gen,amc,javelin,1
AMC_Javelin_2_gen,amc,javelin,2
AMC_Rambler_Ambassador_4_gen,amc,rambler ambassador,4
AMC_Rambler_American,amc,rambler american,
AMC_Rambler_Classic_2_gen,amc,rambler classic,2
AMC_Rambler_Classic_3_gen,amc,rambler classic,3
Acura_CL_1_gen,acura,cl,1
Acura_CL_2_gen,acura,cl,2
Acura_EL_1_gen,acura,el,1
Acura_EL_2_gen,acura,el,2
Acura_ILX_1_gen,acura,ilx,1
Acura_Integra_1_gen,acura,integra,1
Acura_Integra_2_gen,acura,integra,2
Acura_Integra_3_gen,acura,integra,3
Acura_Integra_4_gen,acura,integra,4
Acura_Legend_1_gen,acura,legend,1
Acura_Legend_2_gen,acura,legend,2
Acura_MDX_1_gen,acura,mdx,1
Acura_MDX_2_gen,acura,mdx,2
Acura_MDX_3_gen,acura,mdx,3
Acura_NSX_2_gen,acura,nsx,2
Acura_RDX_1_gen,acura,rdx,1
Acura_RDX_2_gen,acura,rdx,2
Acura_RDX_3_gen,acura,rdx,3
Acura_RL_1_gen,acura,rl,1
Acura_RL_2_gen,acura,rl,2
Acura_RL_3_gen,acura,rl,3
Acura_SLX_1_gen,acura,slx,1
Acura_TLX_1_gen,acura,tlx,1
Acura_TL_1_gen,acura,tl,1
Acura_TL_2_gen,acura,tl,2
Acura_TL_3_gen,acura,tl,3
Acura_TL_4_gen,acura,tl,4
Acura_TSX_1_gen,acura,tsx,1
Acura_TSX_2_gen,acura,tsx,2
Acura_Vigor_3_gen,acura,vigor,3
Acura_ZDX_1_gen,acura,zdx,1
Aixam_A721_1_gen,aixam,a721,1
Aixam_City_1_gen,aixam,city,1
Aixam_Crossline_1_gen,aixam,crossline,1
Aixam_Crossover_1_gen,aixam,crossover,1
Aixam_Mega_1_gen,aixam,mega,1
Aixam_Scouty_1_gen,aixam,scouty,1
Alfa_Romeo_146_1_gen,alfa romeo,146,1
Alfa_Romeo_147_1_gen,alfa romeo,147,1
Alfa_Romeo_147_1_gen_FL,alfa romeo,147,1 fl
Alfa_Romeo_156_1_gen,alfa romeo,156,1
Alfa_Romeo_159_1_gen,alfa romeo,159,1
Alfa_Romeo_164_1_gen,alfa romeo,164,1
Alfa_Romeo_166_1_gen,alfa romeo,166,1
Alfa_Romeo_4C_1_gen,alfa romeo,4c,1
Alfa_Romeo_75_1_gen,alfa romeo,75,1
Alfa_Romeo_Alfetta_1_gen,alfa romeo,alfetta,1
Alfa_Romeo_Brera_1_gen,alfa romeo,brera,1
Alfa_Romeo_GTV_1_gen,alfa romeo,gtv,1
Alfa_Romeo_GT_1_gen,alfa romeo,gt,1
Alfa_Romeo_Giulia_1_gen,alfa romeo,giulia,1
Alfa_Romeo_Giulietta_1_gen,alfa romeo,giulietta,1
Alfa_Romeo_Mito_1_gen,alfa romeo,mito,1
Alfa_Romeo_Spider_1_gen,alfa romeo,spider,1
Alfa_Romeo_Spider_2_gen,alfa romeo,spider,2
Alfa_Romeo_Spider_3_gen,alfa romeo,spider,3
Alfa_Romeo_Spider_4_gen,alfa romeo,spider,4
Alfa_Romeo_Stelvio_1_gen,alfa romeo,stelvio,1
Alpine_A110_1_gen,alpine,a110,1
Aston_Martin_DB11_1_gen,aston martin,db11,1
Aston_Martin_DB9_1_gen,aston martin,db9,1
Aston_Martin_DBS_2_gen,aston martin,dbs,2
Aston_Martin_Rapide_1_gen,aston martin,rapide,1
Aston_Martin_Vanquish_2_gen,aston martin,vanquish,2
Aston_Martin_Vantage_1_gen,aston martin,vantage,1
Audi_100_3_gen,audi,100,3
Audi_100_4_gen,audi,100,4
Audi_80_1_gen,audi,80,1
Audi_80_2_gen,audi,80,2
Audi_80_3_gen,audi,80,3
Audi_80_4_gen,audi,80,4
Audi_90_1_gen,audi,90,1
Audi_A1_1_gen,audi,a1,1
Audi_A1_2_gen,audi,a1,2
Audi_A2_1_gen,audi,a2,1
Audi_A3_1_gen,audi,a3,1
Audi_A3_2_gen,audi,a3,2
Audi_A3_2_gen_FL,audi,a3,2 fl
Audi_A3_3_gen,audi,a3,3
Audi_A3_3_gen_FL,audi,a3,3 fl
Audi_A4_1_gen,audi,a4,1
Audi_A4_2_gen,audi,a4,2
Audi_A4_3_gen,audi,a4,3
Audi_A4_4_gen,audi,a4,4
Audi_A4_4_gen_FL,audi,a4,4 fl
Audi_A4_5_gen,audi,a4,5
Audi_A4_5_gen_FL,audi,a4,5 fl
Audi_A5_1_gen,audi,a5,1
Audi_A5_1_gen_FL,audi,a5,1 fl
Audi_A5_2_gen,audi,a5,2
Audi_A6_1_gen,audi,a6,1
Audi_A6_2_gen,audi,a6,2
Audi_A6_3_gen,audi,a6,3
Audi_A6_4_gen,audi,a6,4
Audi_A6_5_gen,audi,a6,5
Audi_A7_1_gen,audi,a7,1
Audi_A7_2_gen,audi,a7,2
Audi_A8_1_gen,audi,a8,1
Audi_A8_2_gen,audi,a8,2
Audi_A8_3_gen,audi,a8,3
Audi_A8_3_gen_FL,audi,a8,3 fl
Audi_E_Tron_1_gen,audi,e tron,1
Audi_Q2_1_gen,audi,q2,1
Audi_Q3_1_gen,audi,q3,1
Audi_Q3_2_gen,audi,q3,2
Audi_Q5_1_gen,audi,q5,1
Audi_Q5_1_gen_FL,audi,q5,1 fl
Audi_Q5_2_gen,audi,q5,2
Audi_Q5_2_genn,audi,q5,2
Audi_Q7_1_gen,audi,q7,1
Audi_Q7_2_gen,audi,q7,2
Audi_Q7_2_gen_FL,audi,q7,2 fl
Audi_Q8_1_gen,audi,q8,1
Audi_Quattro_1_gen,audi,quattro,1
Audi_R8_1_gen,audi,r8,1
Audi_TT_1_gen,audi,tt,1
Audi_TT_2_gen,audi,tt,2
Audi_TT_3_gen,audi,tt,3
